"Foo","Bar","Baz","Fobe","Dt Test","enabled"
"eighth","(bigger data)",12,3.44,2018-10-09T19:00:00.000Z,false
"fifth","downstream",-12,19,2018-10-17T19:00:00.000Z,true
"first","row",123,1,2018-10-06T14:00:00.000Z,true
"fourth"," boat ",0,4.3,2018-10-10T04:13:31.000Z,false
"one-o-five","Lincoln",105,,,false
"one-ten","Hamilton",110,,,false
"one-twenty","Jackson",120,,,false
"second","row",456,2.1,2018-10-06T19:00:00.000Z,false
"seventh","big data*",1000000,4000.3,2018-10-10T09:13:30.000Z,false
"sixth",,,,,false
"ten","Hamilton",10,0.1,2020-10-06T19:00:00.000Z,true
"third","row your boat",789,3,2018-10-17T19:00:00.000Z,true
"twenty","Jackson",20,20.2,2020-10-07T03:00:00.000Z,true
